Delta z (mu m),Resolution
-3.69577,5.615234375
-3.51098,5.517578125
-3.32619,5.419921875
-3.1414,5.322265625
-2.95661,5.126953125
-2.77183,5.029296875
-2.58704,4.833984375
-2.40225,4.736328125
-2.21746,4.541015625
-2.03267,4.443359375
-1.84788,4.296875
-1.6631,4.150390625
-1.47831,4.00390625
-1.29352,3.90625
-1.10873,3.7109375
-0.92394,3.515625
-0.73915,3.369140625
-0.55437,3.125
-0.36958,2.9296875
-0.18479,2.734375
0.0,2.5390625
0.18479,2.34375
0.36958,2.24609375
0.55437,2.05078125
0.73915,1.953125
0.92394,1.85546875
1.10873,1.85546875
1.29352,1.85546875
1.47831,1.85546875
1.6631,1.953125
1.84788,2.001953125
2.03267,2.099609375
2.21746,2.24609375
2.40225,2.44140625
2.58704,2.63671875
2.77183,2.9296875
2.95661,3.173828125
3.1414,3.466796875
3.32619,3.662109375
3.51098,3.857421875
3.69577,4.052734375
