Delta z (mu m),Resolution
-3.69577,5.322265625
-3.51098,5.224609375
-3.32619,5.126953125
-3.1414,4.931640625
-2.95661,4.78515625
-2.77183,4.638671875
-2.58704,4.4921875
-2.40225,4.296875
-2.21746,4.19921875
-2.03267,4.052734375
-1.84788,3.90625
-1.6631,3.759765625
-1.47831,3.61328125
-1.29352,3.41796875
-1.10873,3.22265625
-0.92394,3.02734375
-0.73915,2.783203125
-0.55437,2.5390625
-0.36958,2.294921875
-0.18479,2.1484375
0.0,1.953125
0.18479,1.85546875
0.36958,1.708984375
0.55437,1.66015625
0.73915,1.611328125
0.92394,1.66015625
1.10873,1.66015625
1.29352,1.708984375
1.47831,1.806640625
1.6631,2.001953125
1.84788,2.197265625
2.03267,2.5390625
2.21746,2.880859375
2.40225,3.22265625
2.58704,3.564453125
2.77183,3.80859375
2.95661,4.052734375
3.1414,4.248046875
3.32619,4.39453125
3.51098,4.541015625
3.69577,4.6875
