Delta z (mu m),Resolution
-3.69577,5.17578125
-3.51098,5.029296875
-3.32619,4.833984375
-3.1414,4.736328125
-2.95661,4.541015625
-2.77183,4.39453125
-2.58704,4.248046875
-2.40225,4.150390625
-2.21746,4.00390625
-2.03267,3.90625
-1.84788,3.7109375
-1.6631,3.564453125
-1.47831,3.41796875
-1.29352,3.22265625
-1.10873,2.978515625
-0.92394,2.734375
-0.73915,2.5390625
-0.55437,2.34375
-0.36958,2.1484375
-0.18479,1.953125
0.0,1.85546875
0.18479,1.7578125
0.36958,1.708984375
0.55437,1.708984375
0.73915,1.708984375
0.92394,1.7578125
1.10873,1.806640625
1.29352,1.904296875
1.47831,2.05078125
1.6631,2.294921875
1.84788,2.5390625
2.03267,2.83203125
2.21746,3.173828125
2.40225,3.515625
2.58704,3.759765625
2.77183,3.955078125
2.95661,4.19921875
3.1414,4.345703125
3.32619,4.4921875
3.51098,4.638671875
3.69577,4.833984375
